time,open,high,low,close
09:00,23290.55,23552.7,23290.55,23442.15
09:05,23442.0,23471.0,23431.2,23462.5
09:10,23462.5,23462.5,23462.5,23462.5
09:15,23472.8,23485.05,23421.55,23449.65
09:20,23450.25,23451.95,23417.4,23432.15
09:25,23431.6,23475.55,23416.05,23469.8
09:30,23469.65,23491.9,23452.6,23454.6
09:35,23453.9,23474.45,23433.6,23454.35
09:40,23454.75,23462.0,23424.95,23425.5
09:45,23425.25,23426.85,23388.85,23399.0
09:50,23397.4,23399.65,23363.5,23363.5
09:55,23363.1,23372.55,23344.75,23347.2
10:00,23347.55,23369.95,23333.5,23360.8
10:05,23361.1,23361.8,23326.95,23336.2
10:10,23337.05,23344.1,23311.85,23329.95
10:15,23329.8,23340.7,23317.35,23318.3
10:20,23317.5,23334.85,23306.5,23313.35
10:25,23311.85,23357.1,23309.0,23355.45
10:30,23353.45,23360.0,23325.7,23326.7
10:35,23326.75,23338.0,23320.3,23337.1
10:40,23337.2,23342.0,23313.05,23324.75
10:45,23324.55,23333.4,23309.3,23330.1
10:50,23330.4,23379.55,23330.1,23361.2
10:55,23359.2,23372.55,23348.9,23372.55
11:00,23372.7,23374.7,23355.2,23357.8
11:05,23358.25,23361.65,23331.5,23333.95
11:10,23334.2,23339.55,23317.45,23321.85
11:15,23321.65,23329.25,23309.65,23326.2
11:20,23324.85,23342.85,23319.6,23336.55
11:25,23335.95,23379.2,23333.15,23378.0
11:30,23377.35,23400.3,23365.35,23392.1
11:35,23391.3,23410.2,23380.5,23406.9
11:40,23405.15,23414.9,23395.25,23408.25
11:45,23407.9,23410.6,23390.4,23404.75
11:50,23403.5,23409.4,23388.7,23389.65
11:55,23389.25,23389.7,23360.5,23361.15
12:00,23361.2,23365.45,23335.75,23343.95
12:05,23344.15,23347.5,23322.35,23332.35
12:10,23331.6,23342.55,23317.45,23336.25
12:15,23336.15,23338.9,23318.45,23318.45
12:20,23318.1,23319.1,23269.7,23270.6
12:25,23269.55,23291.25,23266.5,23279.7
12:30,23278.7,23281.5,23228.8,23241.35
12:35,23239.2,23241.8,23211.5,23216.95
12:40,23216.3,23219.4,23193.9,23213.75
12:45,23212.4,23245.5,23210.2,23240.7
12:50,23240.9,23250.2,23213.55,23229.9
12:55,23229.6,23242.8,23213.3,23231.65
13:00,23231.1,23239.55,23217.75,23222.1
13:05,23221.25,23227.5,23194.0,23196.65
13:10,23197.15,23210.2,23175.05,23177.55
13:15,23175.7,23192.75,23169.35,23172.0
13:20,23171.6,23187.65,23138.15,23140.05
13:25,23141.25,23191.3,23139.25,23189.3
13:30,23189.35,23202.5,23166.4,23169.15
13:35,23167.95,23171.1,23142.7,23146.05
13:40,23145.65,23165.2,23133.0,23157.65
13:45,23157.15,23168.4,23148.85,23161.85
13:50,23160.25,23166.9,23120.45,23138.9
13:55,23138.25,23150.3,23113.3,23119.25
14:00,23118.95,23161.45,23118.95,23144.6
14:05,23143.2,23178.5,23142.25,23169.55
14:10,23170.25,23205.5,23167.15,23201.2
14:15,23201.85,23220.0,23182.75,23218.85
14:20,23219.2,23233.5,23201.75,23210.7
14:25,23210.2,23225.1,23199.75,23204.4
14:30,23202.5,23258.6,23202.5,23235.3
14:35,23235.5,23249.05,23208.3,23208.3
14:40,23208.65,23231.55,23205.65,23226.15
14:45,23224.8,23231.2,23177.55,23191.75
14:50,23191.05,23212.5,23166.6,23167.35
14:55,23172.65,23182.1,23144.55,23176.75
15:00,23177.9,23190.55,23135.75,23135.75
15:05,23138.05,23147.95,23125.1,23132.35
15:10,23132.75,23167.05,23127.75,23163.8
15:15,23162.55,23165.15,23145.65,23154.65
15:20,23153.2,23154.1,23138.5,23148.45
15:25,23148.15,23173.85,23147.0,23169.6
